a-150 tissue-equivalent plastic,,,,,,,,
1.127000,zaid,w-p,a-f,,,,,
Cu,29000,0.665381,0.674918,,,,,
Zn,30000,0.325697,0.320956,,,,,
Sn,50000,0.002672,0.001451,,,,,
Pb,82000,0.005377,0.001673,,,,,
,,,,,,,,
bronze,,,,,,,,
8.4,,,,,,,,
Al,13027,0.028528,0.065613,,,,,
Si,14000,0.003339,0.007378,,,,,
Mn,25055,0.003555,0.004015,,,,,
Fe,26000,0.010208,0.011344,,,,,
Ni,28000,0.006718,0.007103,,,,,
Cu,29000,0.874157,0.853667,,,,,
Zn,30000,0.036037,0.03419,,,,,
Sn,50000,0.024503,0.012809,,,,,
Pb,82000,0.012957,0.003881,,,,,
,,,,,,,,
cadmium,,,,,,,,
8.65,,,,,,,,
Cd,48000,1,1,,,,,
,,,,,,,,
carbon,,,,,,,,
2,,,,,,,,
B,5000,0.000001,0.000001,,,,,
C,6000,0.999999,0.999999,,,,,
,,,,,,,,
carbon graphite,,,,,,,,
1.7,,,,,,,,
B,5000,0.000001,0.000001,,,,,
C,6000,0.999999,0.999999,,,,,
,,,,,,,,
celotex,,,,,,,,
0.24,,,,,,,,
H,1001,0.062165,0.47619,,,,,
C,6000,0.444455,0.285714,,,,,
O,8016,0.49338,0.238095,,,,,
,,,,,,,,
chromium,,,,,,,,
7.18,,,,,,,,
Cr,24000,1,1,,,,,
,,,,,,,,
concrete barite,,,,,,,,
3.35,,,,,,,,
H,1001,0.003585,0.109602,,,,,
O,8016,0.311622,0.600189,,,,,
Mg,12000,0.001195,0.001515,,,,,
Al,13027,0.004183,0.004777,,,,,
Si,14000,0.010457,0.011473,,,,,
S,16000,0.107858,0.103654,,,,,
Ca,20000,0.050194,0.038593,,,,,
Fe,26000,0.047505,0.026213,,,,,
Ba,56000,0.4634,0.103983,,,,,
,,,,,,,,
concrete boron frits-baryte,,,,,,,,
3.1,,,,,,,,
H,1001,0.005626,0.147522,,,,,
B,5000,0.010449,0.025543,,,,,
O,8016,0.339596,0.560939,,,,,
F,9019,0.002311,0.003215,,,,,
Na,11023,0.012157,0.013975,,,,,
Mg,12000,0.002311,0.002513,,,,,
Al,13027,0.00643,0.006298,,,,,
Si,14000,0.033256,0.031293,,,,,
S,16000,0.091932,0.075769,,,,,
K,19000,0.001005,0.000679,,,,,
Ca,20000,0.062896,0.041474,,,,,
Mn,25055,0.000201,0.000097,,,,,
Fe,26000,0.022003,0.010413,,,,,
Zn,30000,0.006631,0.002679,,,,,
Ba,56000,0.403195,0.077592,,,,,
,,,,,,,,
concrete hanford dry,,,,,,,,
2.18,,,,,,,,
H,1001,0.004,0.07844,,,,,
O,8016,0.482102,0.595591,,,,,
Na,11023,0.002168,0.001864,,,,,
Mg,12000,0.014094,0.011462,,,,,
Al,13027,0.069387,0.050831,,,,,
Si,14000,0.277549,0.19533,,,,,
K,19000,0.01301,0.006577,,,,,
Ca,20000,0.080229,0.039567,,,,,
Fe,26000,0.057461,0.020338,,,,,
,,,,,,,,
concrete hanford wet,,,,,,,,
2.35,,,,,,,,
H,1001,0.012309,0.20517,,,,,
O,8016,0.513359,0.539084,,,,,
Na,11023,0.002001,0.001463,,,,,
Mg,12000,0.013009,0.008993,,,,,
Al,13027,0.064045,0.03988,,,,,
Si,14000,0.256179,0.15325,,,,,
K,19000,0.012008,0.00516,,,,,
Ca,20000,0.074052,0.031043,,,,,
Fe,26000,0.053037,0.015956,,,,,
,,,,,,,,
concrete magnuson,,,,,,,,
2.147,,,,,,,,
H,1001,0.003319,0.059733,,,,,
C,6000,0.10532,0.159071,,,,,
O,8016,0.499428,0.566258,,,,,
Na,11023,0.001411,0.001113,,,,,
Mg,12000,0.0942,0.070307,,,,,
Al,13027,0.007859,0.005284,,,,,
Si,14000,0.042101,0.027193,,,,,
S,16000,0.002483,0.001405,,,,,
Cl,17000,0.000523,0.000268,,,,,
K,19000,0.009445,0.004382,,,,,
Ca,20000,0.226317,0.102437,,,,,
Ti,22000,0.001488,0.000564,,,,,
Mn,25055,0.000512,0.000169,,,,,
Fe,26000,0.005595,0.001817,,,,,
,,,,,,,,
concrete ordinary,,,,,,,,
2.3,,,,,,,,
H,1001,0.0221,0.30533,,,,,
C,6000,0.002484,0.00288,,,,,
O,8016,0.57493,0.500407,,,,,
Na,11023,0.015208,0.009212,,,,,
Mg,12000,0.001266,0.000725,,,,,
Al,13027,0.019953,0.010298,,,,,
Si,14000,0.304627,0.151042,,,,,
K,19000,0.010045,0.003578,,,,,
Ca,20000,0.042951,0.014924,,,,,
Fe,26000,0.006435,0.001605,,,,,
,,,,,,,,
copper,,,,,,,,
8.96,,,,,,,,
Cu,29000,1,1,,,,,
,,,,,,,,
diatomaceous earth,,,,,,,,
0.22,,,,,,,,
H,1001,0.008956,0.151312,,,,,
O,8016,0.546579,0.581761,,,,,
Na,11023,0.009896,0.00733,,,,,
Mg,12000,0.002774,0.001943,,,,,
Al,13027,0.015581,0.009834,,,,,
Si,14000,0.394761,0.239358,,,,,
K,19000,0.011074,0.004823,,,,,
Ca,20000,0.003945,0.001676,,,,,
