,mass,abundance
1001,1.00782503223,0.999885
1002,2.01410177812,0.000115
1003,3.0160492779,0.0
1004,4.02643,0.0
1005,5.035311,0.0
1006,6.04496,0.0
1007,7.0527,0.0
2003,3.0160293201,1.34e-06
2004,4.00260325413,0.99999866
2005,5.012057,0.0
2006,6.018885891,0.0
2007,7.0279907,0.0
2008,8.03393439,0.0
2009,9.043946,0.0
2010,10.05279,0.0
3003,3.0308,0.0
3004,4.02719,0.0
3005,5.012538,0.0
3006,6.0151228874,0.0759
3007,7.0160034366,0.9241
3008,8.022486246,0.0
3009,9.02679019,0.0
3010,10.035483,0.0
3011,11.04372358,0.0
3012,12.052517,0.0
3013,13.06263,0.0
4005,5.0399,0.0
4006,6.0197264,0.0
4007,7.016928717,0.0
4008,8.005305102,0.0
4009,9.012183065,1.0
4010,10.013534695,0.0
4011,11.02166108,0.0
4012,12.0269221,0.0
4013,13.036135,0.0
4014,14.04289,0.0
4015,15.05342,0.0
4016,16.06167,0.0
5006,6.0508,0.0
5007,7.029712,0.0
5008,8.0246073,0.0
5009,9.01332965,0.0
5010,10.01293695,0.199
5011,11.00930536,0.801
5012,12.0143527,0.0
5013,13.0177802,0.0
5014,14.025404,0.0
5015,15.031088,0.0
5016,16.039842,0.0
5017,17.04699,0.0
5018,18.05566,0.0
5019,19.0631,0.0
5020,20.07207,0.0
5021,21.08129,0.0
6008,8.037643,0.0
6009,9.0310372,0.0
6010,10.01685331,0.0
6011,11.0114336,0.0
6012,12.0,0.9893
6013,13.00335483507,0.0107
6014,14.0032419884,0.0
6015,15.01059926,0.0
6016,16.0147013,0.0
6017,17.022577,0.0
6018,18.026751,0.0
6019,19.0348,0.0
6020,20.04032,0.0
6021,21.049,0.0
6022,22.05753,0.0
6023,23.0689,0.0
7010,10.04165,0.0
7011,11.026091,0.0
7012,12.0186132,0.0
7013,13.00573861,0.0
7014,14.00307400443,0.99636
7015,15.00010889888,0.00364
7016,16.0061019,0.0
7017,17.008449,0.0
7018,18.014078,0.0
7019,19.017022,0.0
7020,20.023366,0.0
7021,21.02711,0.0
7022,22.03439,0.0
7023,23.04114,0.0
7024,24.05039,0.0
7025,25.0601,0.0
8012,12.034262,0.0
8013,13.024815,0.0
8014,14.00859636,0.0
8015,15.00306562,0.0
8016,15.99491461957,0.99757
8017,16.9991317565,0.00038
8018,17.99915961286,0.00205
8019,19.003578,0.0
8020,20.00407535,0.0
8021,21.008655,0.0
8022,22.009966,0.0
8023,23.015696,0.0
8024,24.01986,0.0
8025,25.02936,0.0
8026,26.03729,0.0
8027,27.04772,0.0
8028,28.05591,0.0
9014,14.034315,0.0
9015,15.018043,0.0
9016,16.0114657,0.0
9017,17.00209524,0.0
9018,18.00093733,0.0
9019,18.99840316273,1.0
9020,19.999981252,0.0
9021,20.9999489,0.0
9022,22.002999,0.0
9023,23.003557,0.0
9024,24.008115,0.0
9025,25.012199,0.0
9026,26.020038,0.0
9027,27.02644,0.0
9028,28.03534,0.0
9029,29.04254,0.0
9030,30.05165,0.0
9031,31.05971,0.0
10016,16.02575,0.0
10017,17.01771396,0.0
10018,18.0057087,0.0
10019,19.00188091,0.0
10020,19.9924401762,0.9048
10021,20.993846685,0.0027
10022,21.991385114,0.0925
10023,22.99446691,0.0
10024,23.99361065,0.0
10025,24.997789,0.0
10026,26.000515,0.0
10027,27.007553,0.0
10028,28.01212,0.0
10029,29.01975,0.0
10030,30.02473,0.0
10031,31.0331,0.0
10032,32.03972,0.0
10033,33.04938,0.0
10034,34.05673,0.0
11018,18.02688,0.0
11019,19.01388,0.0
11020,20.0073544,0.0
11021,20.99765469,0.0
11022,21.99443741,0.0
11023,22.989769282,1.0
11024,23.99096295,0.0
11025,24.989954,0.0
11026,25.9926346,0.0
11027,26.9940765,0.0
11028,27.998939,0.0
11029,29.0028771,0.0
11030,30.0090979,0.0
11031,31.013163,0.0
11032,32.02019,0.0
11033,33.02573,0.0
11034,34.03359,0.0
11035,35.04062,0.0
11036,36.04929,0.0
11037,37.05705,0.0
12019,19.034169,0.0
12020,20.01885,0.0
12021,21.011716,0.0
12022,21.99957065,0.0
12023,22.99412421,0.0
12024,23.985041697,0.7899
12025,24.985836976,0.1
12026,25.982592968,0.1101
12027,26.984340624,0.0
12028,27.9838767,0.0
12029,28.988617,0.0
12030,29.9904629,0.0
12031,30.996648,0.0
12032,31.9991102,0.0
